event_id,subject,event_date,time,end_time,status,tags,person,location,recurring,day_of_week,month
1,Property settlement meeting,2026-01-09,18:30,20:00,Done,Personal,Family,Bank Branch,No,Friday,2026-01
2,Friend's wedding,2025-11-18,17:30,19:00,Done,School,Person A|Person C|Family,Property Address,No,Tuesday,2025-11
3,Weekend market,2026-05-13,10:45,12:45,Upcoming,Personal|Travel,Person A|Person C,Client Office,No,Wednesday,2026-05
4,Client presentation,2026-02-01,17:00,18:00,Done,Work,Family,Cafe,Yes,Sunday,2026-02
5,Community cleanup,2026-02-12,19:00,20:00,Done,Work,Person A,Local Park,No,Thursday,2026-02
6,Car service appointment,2025-11-09,09:30,13:30,Done,Subscription|Personal,Person A|Person B,Sports Centre,Yes,Sunday,2025-11
7,Gym orientation,2026-01-30,07:15,11:15,Done,Subscription,Person B,Community Hall,No,Friday,2026-01
8,Weekend market,2026-04-03,07:15,10:15,Cancelled,Cheer,Person A,Medical Centre,Yes,Friday,2026-04
9,Community cleanup,2026-04-18,18:30,21:30,Cancelled,Personal,Person A|Person C,Cafe,No,Saturday,2026-04
10,Property inspection,2026-01-10,13:15,14:15,Done,Home,Person C|Person A|Person B,School Hall,No,Saturday,2026-01
11,Piano recital,2026-06-07,19:45,21:45,Upcoming,Property,Person A|Person C,Cafe,No,Sunday,2026-06
12,Home maintenance day,2025-11-24,11:15,12:45,Done,Cheer|Personal,Person A,Office,No,Monday,2025-11
13,Dentist checkup,2026-05-07,09:45,10:15,Done,Subscription,Person A,Market Square,No,Thursday,2026-05
14,Cheer competition,2025-12-17,11:00,12:00,Done,Home,Person A|Person C,Service Centre,No,Wednesday,2025-12
15,Work conference,2026-04-28,07:45,08:15,Done,Property,Family|Person C|Person A,Conference Room,No,Tuesday,2026-04
16,Client presentation,2025-12-01,07:45,11:45,Done,Social,Person A|Person B,City Centre,No,Monday,2025-12
17,Kids birthday party,2026-02-19,14:30,16:30,Done,Work|Cheer,Person A|Family,School Hall,No,Thursday,2026-02
18,Cheer competition,2026-03-03,07:30,09:30,Done,Work,Person A|Person B|Family,City Centre,Yes,Tuesday,2026-03
19,Team standup,2026-02-20,10:30,11:00,Done,Personal|Work,Person B|Person A,City Centre,Yes,Friday,2026-02
